id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,"aluno X",1,"[{""added"": {}}]",7,1,"2025-05-01 16:36:19.169752"
2,1,"Aluno Teste",1,"[{""added"": {}}]",9,1,"2025-05-01 16:38:00.230537"
3,2,professor,1,"[{""added"": {}}]",4,1,"2025-05-01 16:38:46.566419"
4,2,professor,2,"[{""changed"": {""fields"": [""First name"", ""Last name"", ""Email address"", ""Staff status""]}}]",4,1,"2025-05-01 16:39:00.437326"
5,1,alubi,2,"[{""changed"": {""fields"": [""Aluno"", ""Nome""]}}]",7,1,"2025-05-11 19:58:12.159374"
6,2,"jose - 2025-05-11 às 20:03:29",1,"[{""added"": {}}]",7,1,"2025-05-11 20:03:42.535366"
7,2,"jose - 2025-05-11 às 20:03:29",2,"[{""changed"": {""fields"": [""Telefone"", ""Instrutor""]}}]",7,1,"2025-05-11 20:04:17.083544"
8,2,"jose - 2025-05-12 às 20:03:29",2,"[{""changed"": {""fields"": [""Data do agendamento""]}}]",7,1,"2025-05-11 20:04:37.011202"
9,2,"jose - 2025-05-12 às 20:03:29",2,[],7,1,"2025-05-11 20:04:54.513552"
10,2,"jose - 2025-05-12 às 15:03:29",2,"[{""changed"": {""fields"": [""Hora""]}}]",7,1,"2025-05-11 20:05:06.771403"
11,2,"jose - 2025-05-12 às 17:03:29",2,"[{""changed"": {""fields"": [""Hora""]}}]",7,1,"2025-05-11 20:05:48.659144"
